time,x,y,z
4.4,0.76967,3.06718,2
4.41,0.80642,3.05773,2
4.42,0.843054,3.04783,2
4.43,0.879566,3.03749,2
4.44,0.915952,3.02672,2
4.45,0.952205,3.01551,2
4.46,0.988322,3.00387,2
4.47,1.0243,2.99179,2
4.48,1.06012,2.97928,2
4.49,1.0958,2.96635,2
4.5,1.13131,2.95299,2
4.51,1.16667,2.9392,2
4.52,1.20185,2.92499,2
4.53,1.23687,2.91035,2
4.54,1.2717,2.8953,2
4.55,1.30635,2.87983,2
4.56,1.34081,2.86395,2
4.57,1.37508,2.84766,2
4.58,1.40916,2.83095,2
4.59,1.44303,2.81384,2
4.6,1.47669,2.79632,2
4.61,1.51014,2.7784,2
4.62,1.54337,2.76008,2
4.63,1.57638,2.74136,2
4.64,1.60916,2.72224,2
4.65,1.64171,2.70274,2
4.66,1.67402,2.68284,2
4.67,1.70609,2.66256,2
4.68,1.73792,2.6419,2
4.69,1.7695,2.62085,2
4.7,1.80082,2.59943,2
4.71,1.83188,2.57763,2
4.72,1.86268,2.55547,2
4.73,1.89321,2.53293,2
4.74,1.92347,2.51003,2
4.75,1.95345,2.48677,2
4.76,1.98315,2.46315,2
4.77,2.01257,2.43917,2
4.78,2.04169,2.41485,2
4.79,2.07052,2.39018,2
4.8,2.09905,2.36516,2
4.81,2.12728,2.3398,2
4.82,2.15521,2.3141,2
4.83,2.18282,2.28808,2
4.84,2.21012,2.26172,2
4.85,2.2371,2.23503,2
4.86,2.26376,2.20803,2
4.87,2.29009,2.18071,2
4.88,2.3161,2.15307,2
4.89,2.34177,2.12512,2
4.9,2.3671,2.09687,2
4.91,2.39209,2.06831,2
4.92,2.41674,2.03946,2
4.93,2.44103,2.01031,2
4.94,2.46498,1.98087,2
4.95,2.48857,1.95115,2
4.96,2.51181,1.92115,2
4.97,2.53468,1.89087,2
4.98,2.55719,1.86032,2
4.99,2.57933,1.8295,2
5,2.6011,1.79842,2
5.01,2.62249,1.76707,2
5.02,2.6435,1.73548,2
5.03,2.66414,1.70363,2
5.04,2.68439,1.67154,2
5.05,2.70426,1.63921,2
5.06,2.72373,1.60664,2
5.07,2.74281,1.57384,2
5.08,2.7615,1.54081,2
5.09,2.77979,1.50757,2
5.1,2.79768,1.4741,2
5.11,2.81517,1.44042,2
