time,vx,vy,vz,px,py,pz
4.9,0,0,151.98,0,0,862.111
4.91,0,0,151.882,0,0,863.63
4.92,0,0,151.784,0,0,865.148
4.93,0,0,151.686,0,0,866.664
4.94,0,0,151.588,0,0,868.18
4.95,0,0,151.49,0,0,869.695
4.96,0,0,151.392,0,0,871.209
4.97,0,0,151.294,0,0,872.722
4.98,0,0,151.196,0,0,874.234
4.99,0,0,151.098,0,0,875.745
5,0,0,151,0,0,877.255
5.01,0,0,150.902,0,0,878.764
5.02,0,0,150.804,0,0,880.272
5.03,0,0,150.706,0,0,881.779
5.04,0,0,150.608,0,0,883.285
5.05,0,0,150.51,0,0,884.79
5.06,0,0,150.412,0,0,886.294
5.07,0,0,150.314,0,0,887.798
5.08,0,0,150.216,0,0,889.3
5.09,0,0,150.118,0,0,890.801
5.1,0,0,150.02,0,0,892.301
5.11,0,0,149.922,0,0,893.8
5.12,0,0,149.824,0,0,895.299
5.13,0,0,149.726,0,0,896.796
5.14,0,0,149.628,0,0,898.292
5.15,0,0,149.53,0,0,899.787
5.16,0,0,149.432,0,0,901.282
5.17,0,0,149.334,0,0,902.775
5.18,0,0,149.236,0,0,904.267
5.19,0,0,149.138,0,0,905.759
5.2,0,0,149.04,0,0,907.249
5.21,0,0,148.942,0,0,908.739
5.22,0,0,148.844,0,0,910.227
5.23,0,0,148.746,0,0,911.715
5.24,0,0,148.648,0,0,913.201
5.25,0,0,148.55,0,0,914.686
5.26,0,0,148.452,0,0,916.171
5.27,0,0,148.354,0,0,917.655
5.28,0,0,148.256,0,0,919.137
5.29,0,0,148.158,0,0,920.619
5.3,0,0,148.06,0,0,922.099
5.31,0,0,147.962,0,0,923.579
5.32,0,0,147.864,0,0,925.058
5.33,0,0,147.766,0,0,926.535
5.34,0,0,147.668,0,0,928.012
5.35,0,0,147.57,0,0,929.488
5.36,0,0,147.472,0,0,930.962
5.37,0,0,147.374,0,0,932.436
5.38,0,0,147.276,0,0,933.909
5.39,0,0,147.178,0,0,935.381
5.4,0,0,147.08,0,0,936.851
5.41,0,0,146.982,0,0,938.321
5.42,0,0,146.884,0,0,939.79
5.43,0,0,146.786,0,0,941.258
5.44,0,0,146.688,0,0,942.725
5.45,0,0,146.59,0,0,944.191
5.46,0,0,146.492,0,0,945.656
5.47,0,0,146.394,0,0,947.12
5.48,0,0,146.296,0,0,948.583
5.49,0,0,146.198,0,0,950.044
5.5,0,0,146.1,0,0,951.505
5.51,0,0,146.002,0,0,952.966
5.52,0,0,145.904,0,0,954.425
5.53,0,0,145.806,0,0,955.883
5.54,0,0,145.708,0,0,957.34
5.55,0,0,145.61,0,0,958.796
5.56,0,0,145.512,0,0,960.251
5.57,0,0,145.414,0,0,961.705
5.58,0,0,145.316,0,0,963.158
5.59,0,0,145.218,0,0,964.61
5.6,0,0,145.12,0,0,966.062
5.61,0,0,145.022,0,0,967.512
5.62,0,0,144.924,0,0,968.961
5.63,0,0,144.826,0,0,970.409
5.64,0,0,144.728,0,0,971.857
5.65,0,0,144.63,0,0,973.303
5.66,0,0,144.532,0,0,974.748
5.67,0,0,144.434,0,0,976.193
5.68,0,0,144.336,0,0,977.636
5.69,0,0,144.238,0,0,979.078
5.7,0,0,144.14,0,0,980.52
5.71,0,0,144.042,0,0,981.96
5.72,0,0,143.944,0,0,983.4
5.73,0,0,143.846,0,0,984.838
5.74,0,0,143.748,0,0,986.275
5.75,0,0,143.65,0,0,987.712
5.76,0,0,143.552,0,0,989.148
5.77,0,0,143.454,0,0,990.582
5.78,0,0,143.356,0,0,992.016
5.79,0,0,143.258,0,0,993.448
5.8,0,0,143.16,0,0,994.88
5.81,0,0,143.062,0,0,996.31
5.82,0,0,142.964,0,0,997.74
5.83,0,0,142.866,0,0,999.169
5.84,0,0,142.768,0,0,1000.6
5.85,0,0,142.67,0,0,1002.02
5.86,0,0,142.572,0,0,1003.45
5.87,0,0,142.474,0,0,1004.87
5.88,0,0,142.376,0,0,1006.3
5.89,0,0,142.278,0,0,1007.72
5.9,0,0,142.18,0,0,1009.14
5.91,0,0,142.082,0,0,1010.56
5.92,0,0,141.984,0,0,1011.98
5.93,0,0,141.886,0,0,1013.4
5.94,0,0,141.788,0,0,1014.82
5.95,0,0,141.69,0,0,1016.24
5.96,0,0,141.592,0,0,1017.65
5.97,0,0,141.494,0,0,1019.07
5.98,0,0,141.396,0,0,1020.48
5.99,0,0,141.298,0,0,1021.89
6,0,0,141.2,0,0,1023.31
6.01,0,0,141.102,0,0,1024.72
6.02,0,0,141.004,0,0,1026.13
6.03,0,0,140.906,0,0,1027.54
6.04,0,0,140.808,0,0,1028.94
6.05,0,0,140.71,0,0,1030.35
6.06,0,0,140.612,0,0,1031.76
6.07,0,0,140.514,0,0,1033.16
6.08,0,0,140.416,0,0,1034.57
6.09,0,0,140.318,0,0,1035.97
6.1,0,0,140.22,0,0,1037.37
6.11,0,0,140.122,0,0,1038.77
6.12,0,0,140.024,0,0,1040.17
6.13,0,0,139.926,0,0,1041.57
6.14,0,0,139.828,0,0,1042.97
6.15,0,0,139.73,0,0,1044.37
6.16,0,0,139.632,0,0,1045.76
6.17,0,0,139.534,0,0,1047.16
6.18,0,0,139.436,0,0,1048.55
6.19,0,0,139.338,0,0,1049.95
6.2,0,0,139.24,0,0,1051.34
6.21,0,0,139.142,0,0,1052.73
6.22,0,0,139.044,0,0,1054.12
6.23,0,0,138.946,0,0,1055.51
6.24,0,0,138.848,0,0,1056.9
6.25,0,0,138.75,0,0,1058.29
6.26,0,0,138.652,0,0,1059.67
6.27,0,0,138.554,0,0,1061.06
6.28,0,0,138.456,0,0,1062.44
6.29,0,0,138.358,0,0,1063.83
6.3,0,0,138.26,0,0,1065.21
6.31,0,0,138.162,0,0,1066.59
6.32,0,0,138.064,0,0,1067.97
6.33,0,0,137.966,0,0,1069.35
6.34,0,0,137.868,0,0,1070.73
6.35,0,0,137.77,0,0,1072.11
6.36,0,0,137.672,0,0,1073.49
6.37,0,0,137.574,0,0,1074.86
6.38,0,0,137.476,0,0,1076.24
6.39,0,0,137.378,0,0,1077.61
6.4,0,0,137.28,0,0,1078.98
6.41,0,0,137.182,0,0,1080.35
6.42,0,0,137.084,0,0,1081.73
6.43,0,0,136.986,0,0,1083.09
6.44,0,0,136.888,0,0,1084.46
6.45,0,0,136.79,0,0,1085.83
6.46,0,0,136.692,0,0,1087.2
6.47,0,0,136.594,0,0,1088.56
6.48,0,0,136.496,0,0,1089.93
6.49,0,0,136.398,0,0,1091.29
6.5,0,0,136.3,0,0,1092.66
6.51,0,0,136.202,0,0,1094.02
6.52,0,0,136.104,0,0,1095.38
6.53,0,0,136.006,0,0,1096.74
6.54,0,0,135.908,0,0,1098.1
6.55,0,0,135.81,0,0,1099.46
6.56,0,0,135.712,0,0,1100.81
6.57,0,0,135.614,0,0,1102.17
6.58,0,0,135.516,0,0,1103.53
6.59,0,0,135.418,0,0,1104.88
6.6,0,0,135.32,0,0,1106.23
6.61,0,0,135.222,0,0,1107.58
6.62,0,0,135.124,0,0,1108.94
6.63,0,0,135.026,0,0,1110.29
6.64,0,0,134.928,0,0,1111.64
6.65,0,0,134.83,0,0,1112.98
6.66,0,0,134.732,0,0,1114.33
6.67,0,0,134.634,0,0,1115.68
6.68,0,0,134.536,0,0,1117.02
6.69,0,0,134.438,0,0,1118.37
6.7,0,0,134.34,0,0,1119.71
6.71,0,0,134.242,0,0,1121.05
6.72,0,0,134.144,0,0,1122.39
6.73,0,0,134.046,0,0,1123.74
6.74,0,0,133.948,0,0,1125.07
6.75,0,0,133.85,0,0,1126.41
6.76,0,0,133.752,0,0,1127.75
6.77,0,0,133.654,0,0,1129.09
6.78,0,0,133.556,0,0,1130.42
6.79,0,0,133.458,0,0,1131.76
6.8,0,0,133.36,0,0,1133.09
6.81,0,0,133.262,0,0,1134.42
6.82,0,0,133.164,0,0,1135.76
6.83,0,0,133.066,0,0,1137.09
6.84,0,0,132.968,0,0,1138.42
6.85,0,0,132.87,0,0,1139.74
6.86,0,0,132.772,0,0,1141.07
6.87,0,0,132.674,0,0,1142.4
